County,Income,Population,Ph1A,Ph1A_percent,Ph1B,Ph1B_percent,Ph1C,Ph1C_percent,Ph2,Ph2_percent
Alameda,92574,1669301,61654,0.0369,453063,0.2714,810808,0.4857,1162962,0.6967
Alpine,64688,1162,150,0.1291,557,0.4793,777,0.6687,825,0.7100
Amador,61198,38294,1554,0.0406,11543,0.3014,16415,0.4287,20742,0.5417
Butte,48443,226466,10675,0.0471,49988,0.2207,75041,0.3314,97003,0.4283
Calaveras,58151,45117,1298,0.0288,11087,0.2457,16829,0.3730,21774,0.4826
Colusa,56704,22117,360,0.0163,4084,0.1847,6737,0.3046,9846,0.4452
Contra Costa,93712,1155879,51544,0.0446,326446,0.2824,594921,0.5147,791884,0.6851
Del Norte,45258,27401,804,0.0293,4553,0.1662,8012,0.2924,10318,0.3766
El Dorado,80582,191848,8175,0.0426,48813,0.2544,74207,0.3868,102965,0.5367
Fresno,51261,1018241,33777,0.0332,224350,0.2203,359563,0.3531,485635,0.4769
Glenn,47395,29132,912,0.0313,5469,0.1877,8984,0.3084,12136,0.4166
Humboldt,45528,135333,5118,0.0378,32328,0.2389,56922,0.4206,75433,0.5574
Imperial,45834,190266,4301,0.0226,37716,0.1982,76289,0.4010,127099,0.6680
Inyo,52874,18593,1048,0.0564,4881,0.2625,7112,0.3825,9128,0.4909
Kern,52479,916464,20838,0.0227,149109,0.1627,263057,0.2870,364417,0.3976
Kings,53865,153710,3559,0.0232,23751,0.1545,38700,0.2518,51543,0.3353
Lake,42475,65071,1967,0.0302,15473,0.2378,22386,0.3440,29427,0.4522
Lassen,56362,30150,945,0.0313,3055,0.1013,5269,0.1748,6642,0.2203
Los Angeles,64251,10253716,368077,0.0359,2336473,0.2279,4227392,0.4123,6123162,0.5972
Madera,52884,159536,4973,0.0312,31074,0.1948,51334,0.3218,68070,0.4267
Marin,110217,262879,14080,0.0536,98243,0.3737,157595,0.5995,203568,0.7744
Mariposa,51199,18068,537,0.0297,4017,0.2223,6293,0.3483,8033,0.4446
Mendocino,49233,89009,7344,0.0825,31747,0.3567,39478,0.4435,50550,0.5679
Merced,50129,282928,4413,0.0156,49753,0.1759,83496,0.2951,117411,0.4150
Modoc,45149,9602,577,0.0601,2148,0.2237,2605,0.2713,3169,0.3300
Mono,63018,13616,1099,0.0807,6457,0.4742,7280,0.5347,8777,0.6446
Monterey,66676,445414,13475,0.0303,91494,0.2054,183296,0.4115,259577,0.5828
Napa,84753,140779,10922,0.0776,47816,0.3397,71766,0.5098,97698,0.6940
Nevada,63240,98904,3726,0.0377,26903,0.2720,42899,0.4337,55651,0.5627
Orange,85398,3222498,126689,0.0393,745076,0.2312,1363195,0.4230,1964001,0.6095
Placer,84357,396691,18802,0.0474,106227,0.2678,161476,0.4071,222021,0.5597
Plumas,53270,19779,784,0.0396,4600,0.2326,7321,0.3701,9131,0.4617
Riverside,63948,2440124,60791,0.0249,479053,0.1963,838766,0.3437,1190525,0.4879
Sacramento,63902,1546174,50927,0.0329,344457,0.2228,568675,0.3678,848570,0.5488
San Benito,81977,62296,1954,0.0314,12119,0.1945,23057,0.3701,36163,0.5805
San Bernardino,60164,2192203,62199,0.0284,360917,0.1646,659344,0.3008,983453,0.4486
San Diego,74855,3351786,138569,0.0413,947668,0.2827,1606822,0.4794,2436343,0.7269
San Francisco,104552,883869,37295,0.0422,271489,0.3072,483406,0.5469,661706,0.7486
San Joaquin,61145,770385,20986,0.0272,141709,0.1839,251466,0.3264,386626,0.5019
San Luis Obispo,70699,280393,12063,0.0430,68216,0.2433,121336,0.4327,160433,0.5722
San Mateo,113776,774485,36760,0.0475,232026,0.2996,390030,0.5036,564942,0.7294
Santa Barbara,71657,454593,15728,0.0346,95449,0.2100,195955,0.4311,267441,0.5883
Santa Clara,116178,1954286,82645,0.0423,452940,0.2318,942338,0.4822,1431533,0.7325
Santa Cruz,78041,274871,10162,0.0370,76941,0.2799,127561,0.4641,179221,0.6520
Shasta,50905,178773,6089,0.0341,35600,0.1991,53013,0.2965,69206,0.3871
Sierra,48125,3213,233,0.0725,1055,0.3284,1291,0.4018,1462,0.4550
Siskiyou,44200,44584,1471,0.0330,10748,0.2411,14406,0.3231,18321,0.4109
Solano,77609,441307,19849,0.0450,118071,0.2675,178658,0.4048,255992,0.5801
Sonoma,76753,500675,20456,0.0409,156005,0.3116,248850,0.4970,336061,0.6712
Stanislaus,57387,558972,17375,0.0311,113232,0.2026,194504,0.3480,271279,0.4853
Sutter,56955,97490,3471,0.0356,21313,0.2186,32945,0.3379,46132,0.4732
Tehama,42899,64387,1658,0.0258,9380,0.1457,15895,0.2469,21482,0.3336
Trinity,38497,13688,224,0.0164,2436,0.1780,3775,0.2758,5186,0.3789
Tulare,47518,479112,13930,0.0291,92856,0.1938,143118,0.2987,192060,0.4009
Tuolumne,56493,54590,2097,0.0384,15093,0.2765,20561,0.3766,25066,0.4592
Ventura,84017,856598,30215,0.0353,221378,0.2584,363346,0.4242,520973,0.6082
Yolo,65923,222581,9377,0.0421,60803,0.2732,98001,0.4403,133299,0.5989
Yuba,52624,77916,1708,0.0219,10727,0.1377,18716,0.2402,28226,0.3623